RANK,GAME,
33,Portal,
32,Noby Noby Boy,
31,Canabalt,
30,Tetris,
29,,
28,,
27,,
26,,
25,Castlevania: Bloodlines,
24,Spartan: Total War,
23,Monster Hunter Freedom Unite,
22,Secret of Evermore,
21,Dragon Quest V,
20,Breath of Fire V,
19,The Lost Vikings,
18,Metroid Prime,
17,Pro Evolution Soccer 3,
16,Outrun 2,
15,Doom,
14,Ikaruga,
13,Panzer Dragoon II Zwei,
12,Katamari Damacy,
11,Shadow of the Colossus,
10,Metal Gear Solid 3: Snake Eater,
9,Chrono Trigger,
8,Cave Story,
7,Street Fighter III,*Listed as Street Fighter III: Third Strike
6,Gears of War,
5,Pac-Man: Championship Edition,
4,Mother 3,
3,Half-Life 2,
2,Super Mario Bros. 3,
1,Out of This World,
