RANK,GAME,WEIGHTED_POINTS
100,Phoenix,1.96
99,OXO,1.96010101
98,Oregon Trail,1.960204082
97,Burger King's Sneak King,1.960309278
96,Metroid,1.960416667
95,Enter the Matrix,1.960526316
94,Sid Meier's Pirates!,1.960638298
93,Uncharted 2: Among Thieves,1.960752688
92,The Elder Scrolls III: Morrowind,1.960869565
91,Lego Star Wars,1.960989011
90,Mario Party,1.961111111
89,Devil May Cry,1.961235955
88,God of War,1.961363636
87,Touhou Project,1.961494253
86,Brain Age: Train Your Brain in Minutes a Day!,1.961627907
85,Second Life,1.961764706
84,WCW/nWo Revenge,1.961904762
83,Resident Evil,1.962048193
82,Alien Hominid,1.962195122
81,Harvest Moon,1.962345679
80,Crash Bandicoot,1.9625
79,Batman: Arkham Asylum,1.962658228
78,Super Smash Bros.,1.962820513
77,Prince of Persia,1.962987013
76,Super Mario RPG: Legend of the Seven Stars,1.963157895
75,Tomb Raider,1.963333333
74,Need for Speed Underground,1.963513514
73,Sid Meier's Civilization,1.96369863
72,Breakout,1.963888889
71,Tetris,1.964084507
70,Minecraft,1.964285714
69,Pitfall!,1.964492754
68,Diablo II,1.964705882
67,Missile Command,1.964925373
66,Star Wars: TIE Fighter,1.965151515
65,SimCity,1.965384615
64,Super Mario Kart,1.965625
63,Battlefield 1942,1.965873016
62,Madden NFL 2005,1.966129032
61,Wii Fit,1.966393443
60,Donkey Kong Country,1.966666667
59,Street Fighter II,1.966949153
58,Kung-Fu Master,1.967241379
57,Karate Champ,1.96754386
56,Chrono Trigger,1.967857143
55,Halo 2,1.968181818
54,Gran Turismo,1.968518519
53,Pole Position,1.968867925
52,Double Fine Adventure,1.969230769
51,Assassin's Creed,1.969607843
50,GoldenEye 007,1.97
49,Final Fantasy VII,1.970408163
48,Super Mario 64,1.970833333
47,Quake,1.971276596
46,Tony Hawk's Pro Skater,1.97173913
45,Dota,1.972222222
44,Tamagotchi,1.972727273
43,Call of Duty 4: Modern Warfare,1.973255814
42,StarCraft,1.973809524
41,Dune II: The Building of a Dynasty,1.974390244
40,Double Dragon,1.975
39,Asteroids,1.975641026
38,Dance Dance Revolution,1.976315789
37,Duck Hunt,1.977027027
36,Tecmo Super Bowl,1.977777778
35,Gauntlet,1.978571429
34,Tennis For Two,1.979411765
33,Computer Space,1.98030303
32,Spacewar!,1.98125
31,Wizardry: Proving Grounds of the Mad Overlord,1.982258065
30,Metal Gear Solid,1.983333333
29,Half-Life 2,1.984482759
28,Guitar Hero,1.985714286
27,The Legend of Zelda: Ocarina of Time,1.987037037
26,Grand Theft Auto III,1.988461538
25,Myst,1.99
24,Alone in the Dark,1.991666667
23,Counter-Strike,1.993478261
22,Neverwinter Nights,1.995454545
21,Ultima Online,1.997619048
20,Mortal Kombat,2
19,Bejeweled,2.002631579
18,The Sims,2.005555556
17,Final Fantasy I,2.008823529
16,Pong,2.0125
15,Doom,2.016666667
14,World of Warcraft,2.021428571
13,Pokemon Red and Blue,2.026923077
12,Dragon Quest,2.033333333
11,Ms. Pac-Man,2.040909091
10,Wii Sports,2.05
9,Donkey Kong,2.061111111
8,Unreal Tournament,2.075
7,Catacomb 3-D,2.092857143
6,The Legend of Zelda,2.116666667
5,Maze War,2.15
4,pedit5,2.2
3,Magnavox Odyssey's Tennis,2.283333333
2,Space Invaders,2.45
1,Super Mario Bros.,2.95
,,
LIST_YEAR,,
2019,,
