RANK,GAME,NOTES
24.5,SimCity 4,"*Weird List - chronological top 50 games, but Wind Waker was retroactively given GOTY. So I think this is the best compromise"
24.5,Dark Cloud 2,
24.5,Xenosaga Episode I: Der Wile zur Macht,
24.5,Midnight Club II,
24.5,Ikaruga,
24.5,NBA Street Vol. 2,
24.5,Return to Castle Wolfenstein: Tides of War,
24.5,Castlevania: Aria of Sorrow,
24.5,"Warrio Ware, Inc.: Mega Microgames!",
24.5,Advance Wars 2: Black Hole Rising,
24.5,Warcraft III: Frozen Throne,
24.5,Star Wars: Knights of the Old Republic,
24.5,Splashdown: Rides Gone Wild,
24.5,Madden NFL 2004,
24.5,Virtual Fighter 4: Evolution,
24.5,Tron 2.0,
24.5,Disgaea: Hour of Darkness,
24.5,SoulCalibur II,
24.5,Final Fantasy Tactics Advance,
24.5,ESPN NFL Football,
24.5,Homeworld 2,
24.5,Tiger Woods PGA Tour 2004,
24.5,NHL 2004,
24.5,Viewtiful Joe,
24.5,Jak II,
24.5,Max Payne 2: The Fall of Max Payne,
24.5,Crimson Skies,
24.5,SSX 3,
24.5,Super Mario Advance 4: Super Mario Bros. 3,
24.5,ESPN NBA Basketball,
24.5,Gladius,
24.5,Rainbow Six 3,
24.5,Tony Hawk's Underground,
24.5,Top Spin,
24.5,Call of Duty,
24.5,Fire Emblem (GBA),
24.5,SOCOM II: U.S. Navy SEALs,
24.5,Prince of Persia: Sands of Time,
24.5,Ratchet & Clank: Going Commando,
24.5,Beyond Good & Evil,
24.5,Mario Kart: Double Dash!!,
24.5,Project Gotham Racing 2,
24.5,Final Fantasy X-2,
24.5,Mario & Luigi: Superstar Saga,
24.5,Manhunt,
24.5,Need for Speed Underground,
24.5,Deus Ex: Invisible War,
24.5,Fatal Frame 2: Crimson Butterfly,
24.5,The Sims: Bustin' Out,
1,The Legend of Zelda: The Wind Waker,
